iter	RMSE
0	21.12427311
1	17.34335447
2	14.45381141
3	11.95598482
4	9.840189748
5	8.179087429
6	6.879157635
7	5.83064435
8	5.045200274
9	4.401124839
10	3.891536368
11	3.476218978
12	3.17801079
13	2.963320239
14	2.79443437
15	2.649167754
16	2.545058925
17	2.459385753
18	2.398116065
19	2.348279021
20	2.302682753
21	2.252774975
22	2.215690885
23	2.187029486
24	2.171507163
25	2.139139882
26	2.118010476
27	2.0830136
28	2.067948856
29	2.040308741
30	2.010323583
31	1.990601533
32	1.975532134
33	1.958637254
34	1.936375046
35	1.912955362
36	1.896774328
37	1.88844253
38	1.873705
39	1.847204439
40	1.837510376
41	1.816003005
42	1.806542594
43	1.772885464
44	1.754293764
45	1.731910208
46	1.718079326
47	1.709385436
48	1.696439442
49	1.676556606
50	1.665681888
51	1.655204818
52	1.639571645
53	1.612796521
54	1.60207178
55	1.590978854
56	1.5710307
57	1.56588956
58	1.543817757
59	1.533776331
60	1.517927426
61	1.502368821
62	1.49374919
63	1.478254252
64	1.462314208
65	1.45089346
66	1.435211466
67	1.422373603
68	1.415243705
69	1.407602016
70	1.393534736
71	1.387141496
72	1.379826156
73	1.368408673
74	1.363093642
75	1.357788153
76	1.343017094
77	1.337579018
78	1.331460775
79	1.319852124
80	1.31461999
81	1.306151588
82	1.301754349
83	1.292814542
84	1.285346584
85	1.279260531
86	1.266823001
87	1.259651656
88	1.256011862
89	1.247063626
90	1.234716953
91	1.227755679
92	1.224506817
93	1.217307681
94	1.212604143
95	1.209174575
96	1.20570764
97	1.194409539
98	1.189982814
99	1.180282669
100	1.176441953
101	1.169372275
102	1.165572322
103	1.163096371
104	1.157028499
105	1.152133725
106	1.146966156
107	1.141401599
108	1.138042097
109	1.133484007
110	1.130053244
111	1.127510462
112	1.12384632
113	1.115676132
114	1.107709134
115	1.102356366
116	1.099146451
117	1.092202553
118	1.086173482
119	1.082121835
120	1.078924555
121	1.072922685
122	1.067815161
123	1.062148079
124	1.059460812
125	1.05539671
126	1.047752269
127	1.044473454
128	1.043254075
129	1.039742784
130	1.035649259
131	1.033452369
132	1.031486343
133	1.027284219
134	1.022496541
135	1.019161261
136	1.017576522
137	1.014129762
138	1.007995022
139	1.005240405
140	1.001291178
141	0.9973112618
142	0.9954405555
143	0.9908082362
144	0.9888175883
145	0.9875217584
146	0.9852335007
147	0.9808945853
148	0.9777232529
149	0.9756957908
150	0.9719553652
151	0.96881693
152	0.9669365421
153	0.9626609122
154	0.9584637431
155	0.9558523535
156	0.9507239981
157	0.9455825872
158	0.9419668601
159	0.93892096
160	0.9363464688
161	0.9342081977
162	0.9319207256
163	0.9285405244
164	0.9259998137
165	0.9242495013
166	0.9212174578
167	0.9180364814
168	0.9164426255
169	0.9125231597
170	0.9080057757
171	0.9038509245
172	0.901474448
173	0.8994293626
174	0.8962398211
175	0.8932967096
176	0.8924859109
177	0.8897603255
178	0.888286693
179	0.885360548
180	0.8830521766
181	0.8799432606
182	0.8747889837
183	0.8705700797
184	0.8683131375
185	0.8658764976
186	0.8637394038
187	0.8601645422
188	0.8582305334
189	0.8572050661
190	0.8538242657
191	0.8529557021
192	0.8515524004
193	0.8498171285
194	0.8478859229
195	0.8453653218
196	0.8426043128
197	0.8397882152
198	0.8358828073
199	0.8345224921
200	0.8313800801
201	0.828905304
202	0.8258388005
203	0.8237260782
204	0.8212835284
205	0.8197732675
206	0.8170175878
207	0.8159054575
208	0.8136086035
209	0.8093949481
210	0.8073339555
211	0.8024631436
212	0.7995738498
213	0.797538565
214	0.796594893
215	0.7924480412
216	0.7901278179
217	0.7883875548
218	0.7873994921
219	0.7846597759
220	0.7819143141
221	0.7802378865
222	0.7785301844
223	0.7767759555
224	0.773570847
225	0.7719081142
226	0.770016894
227	0.7674680756
228	0.7651876037
229	0.7637434604
230	0.7615349991
231	0.7592118998
232	0.7576915556
233	0.7553745564
234	0.7522963471
235	0.7511279701
236	0.7486651842
237	0.7459721953
238	0.7439822477
239	0.7425745181
240	0.7397612415
241	0.7372363311
242	0.7350086825
243	0.7339015605
244	0.732426704
245	0.731061448
246	0.7302983229
247	0.7276586438
248	0.7244180863
249	0.7226134501
250	0.7209921964
251	0.7194809993
252	0.7178050872
253	0.7149668021
254	0.7138223869
255	0.7119005116
256	0.7069349431
