iter	Passed	Remaining
0	3	3227
1	6	3144
2	11	3911
3	14	3603
4	17	3491
5	20	3444
6	25	3587
7	28	3589
8	32	3587
9	36	3574
10	41	3710
11	44	3668
12	47	3619
13	51	3612
14	57	3757
15	60	3690
16	62	3603
17	64	3526
18	67	3480
19	70	3437
20	74	3496
21	77	3452
22	80	3409
23	82	3359
24	84	3313
25	89	3361
26	92	3337
27	95	3303
28	97	3263
29	99	3226
30	102	3190
31	106	3231
32	109	3209
33	112	3186
34	114	3163
35	117	3146
36	122	3180
37	125	3171
38	128	3165
39	130	3141
40	133	3119
41	139	3180
42	142	3173
43	145	3150
44	147	3134
45	150	3115
46	163	3324
47	179	3568
48	195	3784
49	203	3864
50	220	4102
51	228	4158
52	252	4511
53	258	4523
54	263	4530
55	270	4564
56	273	4525
57	276	4491
58	282	4507
59	285	4471
60	288	4438
61	296	4487
62	301	4483
63	308	4508
64	316	4549
65	319	4514
66	322	4486
67	325	4456
68	330	4457
69	333	4430
70	335	4395
71	340	4385
72	344	4368
73	346	4336
74	348	4303
75	350	4265
76	352	4230
77	354	4195
78	356	4161
79	361	4157
80	363	4127
81	365	4096
82	368	4075
83	371	4056
84	377	4061
85	380	4041
86	383	4021
87	386	4006
88	390	3993
89	393	3975
90	395	3949
91	397	3922
92	399	3896
93	401	3872
94	403	3847
95	407	3840
96	410	3818
97	412	3797
98	414	3775
99	417	3754
100	419	3734
101	423	3727
102	425	3709
103	428	3691
104	431	3676
105	433	3656
106	435	3634
107	440	3637
108	442	3616
109	444	3596
110	446	3577
111	449	3567
112	452	3548
113	456	3545
114	458	3526
115	460	3508
116	462	3490
117	464	3472
118	466	3455
119	470	3450
120	473	3436
121	475	3419
122	477	3403
123	479	3386
124	481	3370
125	483	3353
126	487	3354
127	490	3340
128	492	3326
129	494	3312
130	497	3297
131	499	3286
132	503	3284
133	505	3269
134	508	3255
135	510	3240
136	512	3226
137	514	3215
138	518	3214
139	521	3203
140	523	3191
141	525	3178
142	527	3164
143	534	3177
144	537	3169
145	540	3160
146	543	3153
147	546	3144
148	550	3142
149	553	3136
150	556	3129
151	559	3120
152	561	3111
153	566	3113
154	569	3106
155	572	3098
156	575	3089
157	578	3080
158	582	3082
159	585	3073
160	588	3066
161	591	3058
162	593	3048
163	598	3048
164	600	3040
165	603	3034
166	606	3025
167	609	3017
168	614	3022
169	617	3014
170	620	3007
171	623	3000
172	626	2992
173	631	2995
174	634	2989
175	637	2982
176	639	2974
177	642	2967
178	646	2964
179	649	2957
180	651	2950
181	654	2943
182	659	2944
183	662	2939
184	665	2932
185	668	2924
186	670	2917
187	675	2915
188	678	2911
189	681	2903
190	683	2896
191	686	2889
192	691	2889
193	693	2881
194	695	2872
195	698	2863
196	700	2854
197	702	2844
198	704	2836
199	708	2833
200	710	2825
201	712	2816
202	715	2807
203	717	2799
204	719	2790
205	724	2790
206	726	2783
207	729	2775
208	731	2767
209	733	2759
210	735	2750
211	740	2751
212	742	2743
213	744	2735
214	746	2727
215	749	2719
216	751	2712
217	757	2718
218	760	2712
219	763	2705
220	765	2698
221	767	2691
222	772	2690
223	774	2682
224	776	2674
225	778	2666
226	780	2659
227	783	2652
228	787	2650
229	789	2643
230	791	2636
231	794	2628
232	796	2621
233	798	2613
234	802	2611
235	805	2606
236	807	2599
237	809	2592
238	812	2586
239	814	2578
240	818	2576
241	820	2570
242	822	2563
243	825	2556
244	827	2549
245	829	2542
246	831	2535
247	835	2534
248	838	2528
249	840	2522
250	843	2515
251	845	2509
252	847	2502
253	851	2502
254	854	2495
255	856	2489
256	858	2482
257	861	2476
258	863	2469
259	867	2469
260	870	2463
261	872	2457
262	874	2451
263	876	2444
264	879	2438
265	883	2437
266	885	2432
267	888	2426
268	890	2420
269	893	2414
270	895	2408
271	899	2407
272	902	2402
273	904	2396
274	906	2390
275	909	2384
276	911	2380
277	915	2378
278	918	2372
279	920	2366
280	922	2360
281	924	2354
282	926	2348
283	931	2347
284	933	2341
285	935	2335
286	937	2329
287	939	2323
288	942	2317
289	946	2318
290	949	2313
291	951	2307
292	953	2301
293	956	2296
294	958	2290
295	963	2292
296	966	2288
297	969	2283
298	971	2278
299	973	2272
300	978	2271
301	980	2266
302	982	2260
303	985	2255
304	987	2249
305	989	2243
306	994	2244
307	997	2240
308	999	2234
309	1001	2229
